! [447] RFGC - Unstopped in material  (%)
! <sup>238 </sup>U (345 MeV/u) + Be (5 mm); &nbsp; Settings on <sup>138 </sup>Sn<sup> 50+</sup><sup>..</sup><sup> 50+</sup>; &nbsp;<small><font color=darkgreen>Config:</font> D|<sup>b</sup>|<sub>w</sub>D|<sup>b</sup>|<sup>b</sup><sub>m</sub><sub>m</sub><sub>m</sub>DD<sub>m</sub>|<sub>w</sub><sub>m</sub>DD<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub>|<sub>m</sub><sub>m</sub><sup>b</sup><sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub>D|<sub>m</sub><sub>m</sub><sup>b</sup><sup>b</sup>|<sub>w</sub><sub>m</sub><sub>m</sub>D<sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sup>d</sup><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>a</sub></small>
! dp/p=6.00%; &nbsp; Wedges: Al (2 mm), Al (2 mm), Al (2 mm); &nbsp; Brho(Tm): 7.5000, 7.0981, 7.0664, 7.0664, 6.6105....
! N=0-200
! 	Neutrons (N)	Protons (Z)	Value [%]
82	52	100
83	46	100
83	47	100
83	48	100
83	49	100
83	50	100
83	51	100
83	52	100
84	46	100
84	47	100
84	48	100
84	49	100
84	50	100
84	51	100
84	52	100
84	53	100
85	46	100
85	47	100
85	48	100
85	49	100
85	50	100
85	51	100
85	52	100
85	53	100
86	47	97.62184
86	48	100
86	49	100
86	50	100
86	51	100
86	52	100
86	53	100
86	54	100
87	48	3.336714
87	49	97.50088
87	50	99.07551
87	51	100
87	52	100
87	53	100
87	54	100
88	48	100
88	49	100
88	50	1.698725
88	51	97.6665
88	52	98.94852
88	53	100
88	54	100
88	55	100
89	49	100
89	50	100
89	51	100
89	52	4.395225
89	53	97.97742
89	54	98.66267
89	55	100
90	49	100
90	50	100
90	51	100
90	52	100
90	53	100
90	54	100
90	55	80.8316
90	56	97.89167
91	50	100
91	51	100
91	52	100
91	53	100
91	54	100
91	55	100
91	56	100
92	51	100
92	52	100
92	53	100
92	54	100
92	55	100
92	56	100
93	52	100
93	53	100
93	54	100
93	55	100
93	56	100
93	57	100
