! [447] RFGC - Unstopped in material  (%)
! <sup>238 </sup>U (345 MeV/u) + Be (5 mm); &nbsp; Settings on <sup>138 </sup>Sn<sup> 50+</sup><sup>..</sup><sup> 50+</sup>; &nbsp;<small><font color=darkgreen>Config:</font> D|<sup>b</sup>|<sub>w</sub>D|<sup>b</sup>|<sup>b</sup><sub>m</sub><sub>m</sub><sub>m</sub>DD<sub>m</sub>|<sub>w</sub><sub>m</sub>DD<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub>|<sub>m</sub><sub>m</sub><sup>b</sup><sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub>D|<sub>m</sub><sub>m</sub><sup>b</sup><sup>b</sup>|<sub>w</sub><sub>m</sub><sub>m</sub>D<sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sup>d</sup><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>a</sub></small>
! dp/p=6.00%; &nbsp; Wedges: Al (4 mm), Al (2 mm), Al (3.5 mm); &nbsp; Brho(Tm): 7.5000, 6.6585, 6.6234, 6.6234, 6.1125....
! N=0-200
! 	Neutrons (N)	Protons (Z)	Value [%]
84	51	100
84	52	100
84	53	100
85	46	100
85	47	100
85	48	100
85	49	100
85	50	100
85	51	100
85	52	100
85	53	100
86	47	99.702
86	48	100
86	49	100
86	50	100
86	51	100
86	52	100
86	53	100
86	54	100
87	48	92.018
87	49	98.48
87	50	100
87	51	100
87	52	100
87	53	100
87	54	100
88	48	100
88	49	100
88	50	0.27135
88	51	98.075
88	52	98.553
88	53	99.836
88	54	100
88	55	100
89	49	100
89	50	100
89	51	100
89	52	100
89	53	1.5564
89	54	65.76
89	55	98.018
90	49	100
90	50	100
90	51	100
90	52	100
90	53	100
90	54	100
90	55	100
90	56	100
91	51	100
91	52	100
91	53	100
91	54	100
91	55	100
91	56	100
92	52	100
92	53	100
92	54	100
92	55	100
